topicID,tagID,weight
ART0,1,3
BOL0,2,3
CHE0,3,3
COS0,4,3
CUS0,5,3
CUS0,6,2
CUS0,7,1
ETH0,8,3
GOG0,9,3
HSR0,10,3
LAW0,11,3
LIN0,12,3
LIN0,13,2
LIN0,14,1
LIT0,12,2
LIT0,10,1
LIT0,8,1
LOG0,8,3
MAT0,15,3
MST0,16,3
MST0,17,2
MST0,18,1
PHI0,8,3
PYS0,19,3
PYL0,20,3
PYL0,2,2
PYL0,8,1
ABI1,3,3
ABI1,19,2
ABI2,19,3
ABI2,3,2
ABI2,2,1
ACA1,21,3
ACA1,22,2
ACO1,19,3
ACO1,23,2
ACT1,2,3
AED1,19,3
AED1,24,2
AED1,25,2
AED1,15,1
AES1,19,3
AES1,26,2
AES2,8,3
AES2,27,2
AGN1,8,3
AGN1,28,2
AGO1,3,3
ALG1,15,3
API1,2,3
AHS1,29,3
AHS1,10,2
AHS1,27,1
ASN0,19,2
ASN0,15,2
ASN0,30,3
ATS1,31,3
ATS1,19,2
ATS1,3,2
ATS1,32,1
ATS1,33,1
AUT1,8,3
AUT2,15,3
AUT2,4,2
BAR1,19,3
BOC1,3,3
BOC1,2,2
BOP1,19,3
BOP1,2,2
BOT1,2,3
CHA1,15,3
CHA1,19,2
CHA1,34,1
CHT1,15,3
CHT1,19,2
CHO1,9,3
CHO1,35,2
CHO1,33,2
CHO1,36,2
CLM1,19,3
CLM1,15,2
CLI1,37,3
CLI1,38,2
CLI1,39,1
CRY1,15,2
CRY1,4,2
CRY1,40,1
EAS0,31,3
EAS0,35,2
EAS0,32,2
EAS0,41,2
EAS0,30,1
EAS0,42,1
EMB1,2,3
ENG1,43,3
ENG1,19,2
ENG1,15,2
ENG1,44,1
ENG1,45,1
ENI1,46,3
ENI1,47,2
ENI1,48,1
FST1,45,3
FST1,19,2
FOS1,49,3
FOS1,3,2
FOS1,2,2
FOS1,19,2
FOS2,50,3
FOS2,51,2
FOS2,3,2
FOS2,2,2
GEN1,2,3
GEN1,52,2
GEN1,53,2
GEN1,40,1
GOM1,9,3
GOM1,54,2
GOM1,55,2
GOM1,56,1
GOM1,57,1
GOM2,15,3
GOM2,58,2
GOM2,59,2
GOM2,60,2
GOM2,19,1
GOM2,43,1
GLO1,38,3
GOO1,15,3
GOO1,61,2
GOO1,62,2
HSR2,10,3
HSR2,8,2
HSR2,37,1
HSR3,10,3
IDE1,8,3
IDE1,20,2
IDE1,5,1
IDI1,38,3
INS0,63,3
INS0,64,2
INS0,4,2
INS0,65,1
ISE1,4,3
ISE1,48,2
ISE1,66,2
ISE1,67,1
JAP1,68,3
KNM1,19,3
KNM1,15,2
KNT1,19,3
KNT1,45,2
LUD1,69,3
MAS1,44,3
MAS1,43,2
MAS1,19,2
MAS1,3,2
MAS1,45,1
MAS1,70,1
MEC1,19,3
MEC1,15,2
MED1,71,3
MER1,8,3
MER1,46,2
MER1,72,2
MPH1,8,3
MPS1,20,3
MBI1,2,3
MBI1,73,2
MBI1,74,1
MOR1,38,3
MSI1,17,3
NAV1,9,2
NAV1,43,2
NAV1,19,1
NAV1,75,1
NEU1,8,3
NOO1,8,3
NOO1,20,2
NOO1,13,1
ONO1,38,3
OPT1,19,3
OPT1,15,2
ORC1,3,3
ORC1,2,2
ORC1,19,2
PLG1,10,3
PLG1,38,2
PLG1,76,1
PDO1,8,3
PAR1,38,3
PPY1,19,3
PPY1,77,2
PPY1,15,2
PPY1,3,1
PPY1,78,1
PAR2,79,3
PAR2,16,2
PAR2,80,2
PAR2,81,2
PHE1,8,3
PHI2,38,3
POS1,8,3
POS1,28,2
POS1,46,2
POS1,72,2
POS1,10,1
POS1,82,1
PNO1,38,3
PHR1,38,3
PSE1,20,3
PUN1,38,3
QUM1,19,3
QUM1,15,2
QUM1,83,1
RAD1,3,3
RAD1,19,2
