topicID,tagID,weight
ART0,1,5
BOL0,2,5
CHE0,3,5
COS0,4,5
CUS0,5,5
ETH0,6,5
GOG0,7,5
HSR0,8,5
LAW0,9,5
LIN0,10,5
LIT0,11,5
LOG0,12,5
MAT0,13,5
MST0,14,5
PHI0,15,5
PYS0,16,5
PYL0,17,5
ABI1,16,4
ABI1,3,3
ABI2,2,3
ABI2,16,3
ABI2,3,3
ACA1,18,5
ACA1,2,3
ACO1,16,4
ACO1,13,3
ACT1,2,3
ACT1,16,3
ACT1,3,3
AED1,16,4
AED1,13,3
AES1,13,4
AES1,16,3
AES2,1,4
AES2,15,3
AGN1,19,5
AGN1,15,3
AGO1,3,4
AGO1,2,3
ALG1,20,5
ALG1,13,3
API1,21,5
API1,2,3
AHS1,8,4
AHS1,1,3
ASN0,22,5
ASN0,16,3
ATS1,23,5
ATS1,16,3
AUT1,17,4
AUT1,15,3
AUT2,4,4
AUT2,13,3
BAR1,24,5
BAR1,16,3
BOC1,3,4
BOC1,2,3
BOP1,16,4
BOP1,2,3
BOT1,25,5
BOT1,2,3
CHA1,13,3
CHA1,16,3
CHA1,4,3
CHT1,13,4
CHT1,16,3
CHO1,26,5
CHO1,7,3
CLM1,16,4
CLM1,13,3
CLI1,11,4
CLI1,5,3
EAS0,3,4
EAS0,16,3
EMB1,27,5
EMB1,2,3
ENG1,16,4
ENG1,13,3
ENI1,13,3
ENI1,4,3
ENI1,17,3
FST1,16,4
FST1,13,3
FOS1,3,4
FOS1,2,3
FOS2,3,4
FOS2,2,3
GEN1,28,5
GEN1,2,3
GOM1,7,4
GOM1,4,3
GOM2,29,5
GOM2,13,3
GLO1,10,4
GLO1,17,3
GOO1,30,5
GOO1,13,3
HSR2,8,4
HSR2,15,3
HSR3,31,5
HSR3,8,3
IDE1,15,4
IDE1,17,3
IDI1,32,5
IDI1,10,3
INS0,13,4
INS0,4,3
ISE1,4,4
ISE1,13,3
JAP1,5,3
JAP1,8,3
JAP1,10,3
KNM1,16,4
KNM1,13,3
KNT1,16,3
KNT1,3,3
KNT1,13,3
LUD1,5,3
LUD1,17,3
LUD1,4,3
MAS1,3,4
MAS1,16,3
MEC1,16,4
MEC1,13,3
MED1,2,4
MED1,3,3
MER1,15,3
MER1,12,3
MER1,13,3
MPH1,33,5
MPH1,15,3
MPS1,17,4
MPS1,15,3
MBI1,2,4
MBI1,3,3
MOR1,2,4
MOR1,10,3
MSI1,14,3
MSI1,8,3
MSI1,5,3
NAV1,7,3
NAV1,16,3
NAV1,13,3
NEU1,15,4
NEU1,12,3
NOO1,15,4
NOO1,17,3
ONO1,10,4
ONO1,8,3
OPT1,16,4
OPT1,13,3
ORC1,34,5
ORC1,3,3
PLG1,8,4
PLG1,10,3
PDO1,12,4
PDO1,15,3
PAR1,10,4
PAR1,5,3
PPY1,16,4
PPY1,13,3
PAR2,35,5
PAR2,1,3
PHE1,15,4
PHE1,17,3
PHI2,10,4
PHI2,8,3
POS1,36,5
POS1,15,3
PNO1,37,5
PNO1,10,3
PHR1,38,5
PHR1,10,3
PSE1,17,4
PSE1,15,3
PUN1,10,4
PUN1,5,3
QUM1,16,4
QUM1,13,3
RAD1,3,4
RAD1,16,3
SCH1,17,4
SCH1,10,3
SMO1,13,4
SMO1,4,3
SPR1,4,4
SPR1,13,3
SEM1,10,4
SEM1,15,3
SIG1,10,4
SIG1,15,3
SIN1,5,3
SIN1,8,3
SIN1,10,3
SCL0,39,5
SCL0,17,3
SOS1,40,5
SOS1,3,3
SPC1,16,4
SPC1,3,3
SPC2,16,4
SPC2,3,3
STA1,16,4
STA1,13,3
STA2,41,5
STA2,13,3
STE1,42,5
STE1,3,3
SYN1,43,5
SYN1,17,3
SYN2,44,5
SYN2,10,3
TAX1,45,5
TAX1,2,3
TEC0,46,5
TEC0,16,3
TEL1,47,5
TEL1,15,3
THE1,15,4
THE1,8,3
TCS1,4,4
TCS1,13,3
TED1,16,3
TED1,3,3
TED1,13,3
TIM1,48,5
TIM1,8,3
TPL1,49,5
TPL1,13,3
TPN1,7,4
TPN1,10,3
TYG1,50,5
TYG1,1,3
ZLO1,51,5
ZLO1,2,3
ACA2,25,4
ACA2,2,3
AEB1,23,3
AEB1,16,3
AEB1,2,3
AEL1,22,3
AEL1,16,3
AEL1,3,3
AEP1,25,3
AEP1,2,3
AEP1,23,3
AEP1,16,2
AEE1,16,4
AEE1,13,3
AGB1,2,3
AGB1,40,3
AGB1,3,3
AGG1,40,4
AGG1,3,3
AGN2,2,3
AGN2,40,3
AGN2,3,3
AGS1,25,4
AGS1,2,3
ANA1,2,4
ANA1,3,3
AND1,2,4
AND1,3,3
ANG1,2,4
ANG1,3,3
ARA1,2,4
ARA1,51,3
ARA2,3,3
ARA2,16,3
ARA2,8,3
ARE1,33,3
ARE1,15,3
ARE1,12,3
ARI1,29,3
ARI1,13,3
ARI1,3,3
ARI1,16,2
ARS1,13,3
ARS1,4,3
ARS1,8,3
ARI2,3,4
ARI2,2,3
ART2,2,4
ART2,3,3
ART3,2,4
ART3,51,3
AST1,2,4
AST1,51,3
AST2,22,4
AST2,16,3
ASB1,22,3
ASB1,16,3
ASB1,2,3
ASD1,16,3
ASD1,22,3
ASD1,13,3
ASG1,22,4
ASG1,16,3
ASP1,16,4
ASP1,22,3
ATM1,16,4
ATM1,3,3
AUD1,2,3
AUD1,3,3
AUD1,16,3
AUD1,13,2
AUX1,2,4
AUX1,3,3
BAC1,2,4
BAC1,3,3
BAT1,25,4
BAT1,2,3
BEG1,28,3
BEG1,2,3
BEG1,17,3
BIB1,52,5
BIB1,8,3
BIB2,8,4
BIB2,10,3
BOG1,3,4
BOG1,2,3
BOM1,4,3
BOM1,41,3
BOM1,13,3
BOM1,2,2
BRO1,3,4
BRO1,2,3
CAC1,28,3
CAC1,2,3
CAC1,6,3
CAC1,39,2
CAC1,17,2
CAL1,16,3
CAL1,3,3
CAL1,13,3
CRC1,51,4
CRC1,2,3
CRI1,25,4
CRI1,2,3
CRP1,25,4
CRP1,2,3
CRT1,7,4
CRT1,4,3
CAT1,16,4
CAT1,13,3
CEM1,22,3
CEM1,16,3
CEM1,13,3
CEB1,2,4
CEB1,3,3
CHA2,17,4
CHA2,39,3
CHI1,8,4
CHI1,10,3
CHR1,16,3
CHR1,13,3
CHR1,17,3
CHR2,3,4
CHR2,16,3
CIE1,16,4
CIE1,13,3
CLI2,23,3
CLI2,16,3
CLI2,3,3
COD1,8,3
COD1,10,3
COD1,13,3
COD1,4,2
COS2,39,3
COS2,17,3
COS2,10,3
CON1,23,4
CON1,16,3
COP1,2,4
COP1,3,3
CSC1,22,3
CSC1,16,3
CSC1,3,3
CSL1,22,4
CSL1,16,3
CRI2,39,3
CRI2,17,3
CRI2,9,3
CRY1,2,3
CRY1,16,3
CRY1,3,3
CRY2,4,4
CRY2,13,3
CYN1,51,3
CYN1,2,3
CYN1,28,3
CYT1,2,4
CYT1,3,3
DAS1,4,3
DAS1,41,3
DAS1,13,3
DEN1,2,4
DEN1,3,3
DIA1,10,3
DIA1,7,3
DIA1,39,3
DIA1,17,2
DIO1,16,4
DIO1,13,3
DYN1,16,4
DYN1,13,3
DYS1,28,3
DYS1,2,3
DYS1,39,3
DYS1,17,2
DYS1,6,2
ECO1,2,3
ECO1,3,3
ECO1,16,3
ECO0,13,3
ECO0,39,3
ECO0,17,3
EDA1,40,3
EDA1,3,3
EDA1,2,3
ELE1,16,4
ELE1,13,3
ELC1,3,4
ELC1,16,3
END1,2,4
END1,3,3
ENE1,16,3
ENE1,3,3
ENE1,13,3
ENS1,16,4
ENS1,13,3
ENT1,51,4
ENT1,2,3
ENZ1,3,4
ENZ1,2,3
EPI1,2,3
EPI1,3,3
EPI1,41,3
EPI1,13,2
ETH2,2,3
ETH2,17,3
ETH2,51,3
ETY1,10,4
ETY1,8,3
EVB1,28,4
EVB1,2,3
EXO1,22,3
EXO1,16,3
EXO1,2,3
EXO1,3,2
FDY1,16,4
FDY1,13,3
FLM1,16,4
FLM1,13,3
FUT1,39,3
