tagID,name,synonyms
1,"art",""
2,"biology",""
3,"chemistry",""
4,"computer science",""
5,"cultural studies",""
6,"ethics",""
7,"geography",""
8,"history",""
9,"law",""
10,"linguistics",""
11,"literature",""
12,"logics",""
13,"mathematics",""
14,"music theory",""
15,"philosophy",""
16,"physics",""
17,"psychology",""
18,"spines and thorns","acanthology"
19,"ignorance theory","agnoiology"
20,"algebra",""
21,"bees","apiology"
22,"astronomy",""
23,"atmospheric science",""
24,"weight and pressure","barology"
25,"botany",""
26,"geographic distribution","chorology"
27,"embryology",""
28,"genetics",""
29,"geometry",""
30,"huge numbers","googology"
31,"theory of history","historiology"
32,"idioms","idiomology"
33,"metaphysics",""
34,"organic chemistry",""
35,"performing arts",""
36,"philosophy of science",""
37,"speech sounds","phonology"
38,"set phrases","phraseology"
39,"sociology",""
40,"soil science",""
41,"statistics",""
42,"stereochemistry",""
43,"creative problem solving","synectics"
44,"syntax",""
45,"taxonomy",""
46,"technology",""
47,"purpose and goals","teleology"
48,"postage stamps","timbrology"
49,"topology","shapes and spaces"
50,"typography",""
51,"zoology",""
52,"books","bibliology"
53,"landform formation","geomorphogeny"
54,"ore deposits","metallogeny"
55,"mineralogy",""
56,"palaeontology",""
57,"rocks","petrology"
58,"seismology",""
59,"tectonics",""
60,"mites and ticks","acarology"
61,"remedies","aceology"
62,"glider aerodynamics","aerodonetics"
63,"aeronautics",""
64,"allergy medicine","allergology"
65,"anaesthesiology","anesthesia"
66,"adult education","andragogy"
67,"mars science","areology"
68,"ballistics",""
69,"pressure forces","barodynamics"
70,"amphibians","batrachology"
71,"bells","campanology"
72,"cardiology",""
73,"biological rhythms","chronobiology"
74,"beetles","coleopterology"
75,"comets","cometology"
76,"seashells","conchology"
77,"animal eggs","ctetology"
78,"curriculum studies",""
79,"fingerprints","dermatoglyphics"
80,"dermatology",""
81,"ligaments","desmology"
82,"didactic method","teaching methods"
83,"dietetics",""
84,"radiation dosing","dosiology"
85,"sweat glands","eccrinology"
86,"electrodynamics",""
87,"charged fluids","electrohydrodynamics"
88,"electromagnetism",""
89,"electrostatics",""
90,"menstruation","emmenology"
91,"adolescent medicine","ephebiatrics"
92,"exoplanets","exoplanetology"
93,"gastroenterology",""
94,"spinning bodies","gyrostatics"
95,"blood flow","haemataulics"
96,"hematology",""
97,"hermeology",""
98,"horse medicine","hippiatrics"
99,"histology",""
100,"horticulture",""
101,"hydraulics",""
102,"hydrodynamics",""
103,"groundwater","hydrogeology"
104,"fluid motion","hydrokinetics"
105,"hydrostatics",""
106,"trace fossils","ichnology"
107,"immunochemistry",""
108,"immunopathology",""
109,"chromosomes","karyology"
110,"waves","kymatology"
111,"throat medicine","laryngology"
112,"butterflies and moths","lepidopterology"
113,"leprosy research","leprology"
114,"meconology",""
115,"bees","melittology"
116,"metal microstructures","metallography"
117,"alcohol effects","methyology"
118,"microfossils","micropalaeontology"
119,"muscles","myology"
120,"dead planets","necroplanetology"
121,"neonatology",""
122,"nephrology",""
123,"neurobiology",""
124,"neurology",""
125,"insect nymphs","nymphology"
126,"dentistry","odontology"
127,"bird eggs","oology"
128,"snakes","ophiology"
129,"organs","organology (biology)"
130,"grasshoppers","orthopterology"
131,"fossils and minerals","oryctology"
132,"sense of smell","osmics"
133,"bones","osteology"
134,"ear nose throat","otorhinolaryngology"
135,"child development","paedology"
136,"pain medicine",""
137,"ancient life","palaeobiology"
138,"ancient soils","palaeopedology"
139,"past earthquakes","paleoseismology"
140,"teaching science","pedagogics"
141,"gum care","periodontics"
142,"pests","pestology"
143,"throat science","pharyngology"
144,"phylogenetics",""
145,"feathers","plumology"
146,"foot care","podology"
147,"beards","pogonology"
148,"fruit cultivation","pomology"
149,"drug dosing","posology"
150,"proctology","colorectal medicine"
151,"feather patterns","pterylology"
152,"fevers","pyretology"
153,"rheumatology",""
154,"nose medicine","rhinology"
155,"body tissues","sarcology"
156,"moon science","selenology"
157,"blood serum","serology"
158,"iron and steel","siderology"
159,"nutrition","sitology"
160,"pulse measurement","sphygmology"
161,"internal organs","splanchnology"
162,"oral medicine","stomatology"
163,"symptoms","symptomatology"
164,"syphilis research","syphilology"
165,"animal reproduction","theriogenology"
166,"animal breeding","thremmatology"
167,"nutrition care","threpsology"
168,"injury medicine","traumatology"
169,"blindness","typhlology"
170,"urology",""
171,"vaccines","vaccinology"
172,"sexually transmitted infections","venereology"
173,"veins","venology"
174,"flag design","vexillography"
175,"wine","vinology"
176,"vitamins","vitaminology"
177,"youth studies",""
178,"deep ocean mapping","zenography"
179,"animal-borne diseases","zoonosology"
180,"animal diseases","zoopathology"
181,"animal husbandry","zootechnics"
182,"fasteners","zygology"
183,"human biology","anthropobiology"
184,"human-animal relationships","anthrozoology"
185,"cosmetics","cosmetology"
186,"population studies","demology"
187,"vomiting","emetology"
188,"epilepsy","epileptology"
189,"people and nature","ethnobiology"
190,"finance",""
191,"giant myths","gigantology"
192,"ulcers","helcology"
193,"diseased tissue","histopathology"
194,"peace studies","irenology"
195,"freshwater life","limnobiology"
196,"magnetized fluids","magnetohydrodynamics"
197,"static magnets","magnetostatics"
198,"ecology","oikology"
199,"asexual reproduction","parthenology"
200,"war studies","polemology"
201,"human body study","somatology"
202,"chemical ratios","stoichiology"
203,"rock layers","stratography"
204,"hair care","trichology"
